Date;meinestadt.de;yellowmap.de;gelbeseiten.de;dasoertliche.de;goyellow.de
28.02.15;191;92;119;140;58
01.03.15;204;95;116;144;59
02.03.15;221;96;125;144;84
03.03.15;231;100;142;154;96
04.03.15;294;107;156;160;103
05.03.15;299;115;151;158;93
06.03.15;195;122;139;149;84
07.03.15;187;125;123;137;73
08.03.15;232;123;113;130;71
09.03.15;244;119;130;126;75
10.03.15;176;114;162;134;104
11.03.15;221;109;181;143;96
12.03.15;246;108;175;140;101
13.03.15;235;104;162;141;97
14.03.15;185;106;152;140;88
15.03.15;182;109;148;144;89
16.03.15;216;96;146;146;103
17.03.15;246;92;147;146;103
18.03.15;218;92;141;150;95
19.03.15;175;98;108;147;69
20.03.15;174;103;111;150;71
21.03.15;164;109;134;148;72
22.03.15;175;111;137;143;67
23.03.15;225;115;154;145;75
