"","x"
"1","#ZahlDerWoche: Die @BekoBBL live verfolgen. 60.000 Kunden nutzen das Angebot der #Telekom http://t.co/UT5T5CU1lF ^lr http://t.co/0ULLvCMVoU"
"2","@eriklippmann Schon bei http://t.co/Cr6govGDur nachgesehen, ob ein Ausbau geplant ist? ^lr"
"3","@TomSterzenb Our customer service @telekom_hilft can look after it and will contact you"
"4","@j4n Wir müssen uns hier an die Gesetze halten. Hier gibt es unsere Stellungnahme http://t.co/zLgO9sFM2y ^lr"
"5","@Kabbutschino Dann sollte sich @Telekom_hilft den Fall erneut ansehen. Die Kollegen melden sich. ^lr"
"6","@CarpeTempus_ Wir müssen uns hier an die Gesetze halten. Darüber hinaus werden wir keine Daten speichern. ^lr"
"7","@lukius Dem sollte sich @Telekom_hilft annehmen. Die Kollegen melden sich. ^lr"
"8","@greenIMMO Vielen Dank! Gerne weiter empfehlen und selber bewerben. ^lr"
"9","@GoldenFreddyGER Danke und direkt mal bewerben! ^lr"
"10","@Frank_gamefreak Nerds sind uns willkommen und wenn die Techies auch allgemein verständlich schreiben, dürfen sie sich auch bewerben. ^lr"
"11","@Kabbutschino Soll hier unser Team von @Telekom_hilft noch mal ran? ^lr"
"12","@berndfachinger hier gibt es unsere Äußerung zu dem Thema http://t.co/zLgO9sFM2y ^lr"
"13","@DerTopsi Schon mal nachgesehen, ob Hybrid in frage kommt: http://t.co/q9w2opSevG ? Sonst kann @Telekom_hilft gucken was machbar ist. ^lr"
"14","@MisterWuff Nicht so lustig. Das sollte sich @Telekom_hilft ansehen und gucken was sie machen können. ^lr"
"15","#Blogger gesucht: Teste das beste Netz der #Telekom entlang der #Elbe! Bist Du unser #ElbeBlogger? Dann hier bewerben http://t.co/URXN1UYCTE"
"16","@VorsichtWerner Im Vergleich zur alten Regelung greift dieser Vorschlag weniger stark in die Freiheitsrechte ein http://t.co/zLgO9sFM2y ^lr"
"17","@KapikHusky Er nennt sie Dienstanbieter. Sie nutzen die Netze der Telkos, um Kommunikationsdienste wie telefonieren anzubieten. ^lr"
"18","@haj2phx Im Vergleich zur alten Regelung greift dieser Vorschlag weniger stark in die Freiheitsrechte ein http://t.co/zLgO9sFM2y ^lr"
"19","@eddydopolis Vielleicht wissen da die Kollegen von @telekomerleben mehr. ^lr"
"20","@mit1park2 Ich hab die Kritik aufgenommen und an t-online weiter gereicht. ^lr"
