"","x"
"1","Im wahren Leben ein Pärchen - Ob es bei Walter und Paige​ auch bald klappt? #Unityfacts Heute um 22:15 Uhr bei Sat.1. http://t.co/M5z88DI2uw"
"2","Ballauf und Schenk wieder im Einsatz! Wen treffen wir heute Abend an der Wurstbraterei? #TatortKöln 20:15 Uhr bei ARD http://t.co/mKJVOyn0K0"
"3","@FrejaOfVenus That is unfortunate! We are sorry to hear that. Already in contact with @UnitymediaHilfe ?"
"4","Elyas M'Barek, Detlev Buck und Christoph Maria Herbst feiern sich im #Männerhort. http://t.co/Vgq445DhCf http://t.co/ntAsvRh3ps"
"5","@BVB_Thilo In diesem Fall helfen dir unsere Kollegen von @UnitymediaHilfe gerne weiter! Einfach eine DM mit Kundendaten senden. Schönes We!"
"6","@stn1978 Unsere lieben Kollegen von @UnitymediaHilfe helfen dir in diesem Fall gern. Bitte sende ihnen eine DM mit deinen Kundendaten."
"7","Playoffs mit Dirk Nowitzki and Dennis Schröder! Welchem Team drückt ihr die Daumen? #NBA Um 21:30 Uhr bei Sport 1 US. http://t.co/qy27cProRg"
"8","Colette aus #SoA spielt die Hauptrolle im TWD Spin-off Fear the Walking Dead #Unityfacts. 22:05 Uhr bei ProSiebenMaxx"
"9","Zum Start der Doku-Serie Misfit Models verlost UM mit NAT GEO people einen tollen Preis. http://t.co/PjnB6iqwUC http://t.co/HKuWBdoqEw"
"10","FSV Mayence - Schalke 04 match en direct Live du Vendredi 24 avril 2015 http://t.co/7U4FpGhVlg via @MatchEnDirectFr"
"11","Hat Eintracht Frankfurt ohne ihren Spitzentorjäger heute eine Chance gegen Borussia? #SGEBMG http://t.co/0aBhzTgs8R"
"12","Geht euch bei der charmanten Stimme nicht auch das ������auf? #WilliamCohn von Neo Magazin Royal - um 22:15 bei ZDF Neo."
"13","@hibbyaloha Was hat sich bei dir genau verschlechtert? Kann dir unser Team von @UnitymediaHilfe möglicherweise weiterhelfen?"
"14","@KayLoehmann Gerne mal an das Team von @UnitymediaHilfe wenden. Die Kollegen helfen gern!"
"15","@Ahno_Nyhm Tut uns leid zu hören, dass du momentan Probleme mit UM hast. Bitte wende dich in einer DM an das Team von @UnitymediaHilfe."
"16","@ChrissStr Tut uns wirklich leid das zu lesen! Können wir dir weiterhelfen?"
"17","@baby20_de Wir hoffen , dass mittlerweile wieder alles bei dir funktioniert?"
"18","Grey’s Anatomy Produzentin Shonda Rhimes präsentiert euch Viola Davis als Law School Prof. Um 20:15 bei RTL Crime."
"19","Wie wird es für Bayern heute Abend ausgehen? #FCPFCB Heute um 19 Uhr bei Sky Sport 2. http://t.co/AFenlQXK28"
"20","Wenn Paddington an eurer Bahnhof Haltestelle gelandet wäre, welchen Namen hätte er erhalten? http://t.co/oUY1j4Ky6C"
"21","Worauf wartet ihr am meisten bei #GTA5 für PC? 
A. Die 4K Auflösung 
B. Den Rockstar Editor 
C. Die Heists http://t.co/oxNXq8ujMw"
"22","13 Jahre später = mehr hipster! Seid ihr beim Comeback von #MulderundScully dabei? #AkteX - 23 Uhr bei ProSiebenMaxx. http://t.co/ikiTdf9RCg"
"23","Habt ihr #GOT vermisst?Episode eins und zwei von Staffel 5 in der Originalfassung: 
Heute und am 20.4 um 21:20 Uhr.http://t.co/Nlkuk2u8lg"
"24","#MoepMoep euer Jess-Taxi ist da! Fahrt ihr heute mit nach LA zu Staffel 4? Heute um 22:40 Uhr bei Sixx http://t.co/o5e9YInZBw"
