"","Date","bastei.de","bastei.luebbe.academy.de","beam.ebooks.de","bookrix.de","daedalic.de","pmv.raetsel.de","praesenta.de","raeder.de"
"1",89,2028825,3085062,288709,105240,207267,12335799,3490653,2805259
"2",95,2028606,2559935,294010,105212,197483,12328520,3490854,2805192
"3",101,2028505,2560343,302124,106036,195053,12328912,3491041,3417539
"4",107,2028132,2559900,310106,105502,193281,12319796,3490472,3416961
"5",113,2028052,2559750,304904,106212,200449,12307583,3490214,4243248
"6",119,2197691,2355711,300538,106076,199659,12299024,3491226,3702701
"7",125,2196633,2354393,303289,106061,194420,12286536,2992430,3700364
"8",131,2195556,2353454,303844,107595,194676,12289117,2990694,3698697
"9",137,2195014,2353119,300765,108051,191311,12299991,2990440,3697834
"10",143,2194762,2352877,300277,107818,188212,12308594,2989986,3265151
"11",149,2195079,2353199,306276,108777,188751,12300460,2990755,3265879
"12",155,2195278,2353156,303290,108297,186213,12289811,2991490,3266090
"13",161,2195303,2353452,303780,108140,186378,12297622,2992597,3266977
"14",167,2196307,2354090,306843,109368,190138,12306914,2993534,3268341
"15",173,2216397,2375840,289251,107407,192077,12409582,3020525,3297541
"16",179,2010949,2375654,289513,107896,191702,12422965,3021086,3298108
"17",2,2011645,2674248,285421,109484,195777,12428961,6865724,2935519
"18",8,2009210,2671478,286323,110558,197060,12415113,6858504,2932370
"19",14,2009103,2671281,283905,111086,198935,12405226,6857009,2932036
"20",20,1886886,2675973,303254,112355,195722,12421983,6867612,3471006
"21",26,1886431,2674982,302203,111858,193940,12425377,6864669,3470248
"22",32,1886110,2674893,306699,111916,194661,12432727,6864004,3469992
"23",38,1859007,2674798,298330,110937,198139,12440347,6862967,3469757
"24",44,1858607,2673532,300373,110173,196138,12439394,6860918,3467821
"25",50,1855513,2669574,299935,110043,197668,12427556,6852312,3783815
"26",56,1855651,2669888,299951,110861,199009,12416904,6851280,3784422
"27",62,1860122,2465399,296874,112041,196767,12440983,6864855,3793164
"28",68,1859221,2464975,292618,110860,196670,12444556,6864878,3792843
"29",74,1859135,2465097,290041,109887,196639,12447084,6864635,3792304
"30",79,1859928,2465980,288777,109968,198111,12443150,6866472,3120797
"31",84,1859309,2662278,289463,109828,193489,12446968,6864303,3119948
"32",90,1857574,2659800,285385,109911,196256,12435818,6858548,3116942
"33",96,1858285,2661058,288897,110697,195572,12435362,6860146,3118014
"34",102,1863365,2668121,291061,111330,194539,12450773,6875864,3126170
"35",108,2057758,2362865,285790,110127,189955,12454807,6877691,3127536
"36",114,1952389,2363557,285354,110046,190684,12456298,6878795,2580803
"37",120,1857260,2364275,282692,110164,190394,12453275,6880330,2396297
"38",126,1857437,2364441,280818,110155,189979,12447930,6878619,2396467
"39",132,1856061,2362310,276069,110214,187587,12440018,6871843,2394227
"40",138,1857274,2363984,272092,112376,188267,12442061,6872317,2395967
"41",144,1862378,2370409,275638,113019,188757,12460732,6887358,2402450
"42",150,2010591,2372559,275832,114143,187824,12458293,4751186,2404817
"43",156,2010987,2373051,274401,113329,189029,12454742,3275448,2405252
"44",162,2011577,2373583,271172,113323,188675,12451435,2827174,2158389
"45",168,2012049,2373376,271218,112974,189838,12451276,2827313,2158586
"46",174,2009896,2370789,270502,111858,186028,12440945,2824830,2156183
"47",180,2010574,2372018,272461,111883,183434,12440120,2826462,2156920
"48",3,2169759,2673508,270497,111042,183128,12456842,2832155,2161546
"49",9,2171089,2674912,273440,110574,183622,12455238,2833542,2162842
"50",15,2172455,2676338,266004,110020,184053,12449241,2547353,2026693
"51",21,2172455,2676338,266004,110020,184053,12449241,2547353,2026693
"52",27,2172202,2332922,263892,110225,182953,12444897,2547372,2026340
"53",33,2303497,2330285,262880,109754,185216,12440222,2544670,2024388
"54",39,2304465,2594263,258391,108796,186403,12440436,2545670,2025282
"55",45,2309712,2600172,256074,109767,186203,12451212,2551307,2029934
"56",51,2310758,2600917,251384,109569,186184,12447742,2552119,1937384
"57",57,2310927,2832409,255257,109392,184782,12443687,2552264,1937170
"58",63,2049639,2832671,253556,107713,186531,12442109,2552877,1937313
"59",69,2049279,2832387,247350,107958,188128,12439145,2552401,1936940
"60",75,1726177,2829725,245693,107461,188616,12433417,2549850,1934793
"61",80,1726514,2830132,243608,106822,185984,12432428,2550193,1935411
"62",85,1587919,2836433,239940,106023,187454,12448526,2555491,1939495
"63",91,1717289,2534729,236980,106071,188000,12449949,2556290,1940075
"64",97,1516469,2804830,234301,104821,188273,12445755,2556227,1939973
"65",103,1516485,2804569,232707,105068,185097,12441832,2555952,1939987
"66",109,1516162,2804028,230377,104629,184323,12438824,2555509,1939947
"67",115,1513722,2799945,227422,102625,186722,12407714,2551514,1936879
"68",121,1513600,2799945,224683,102393,187132,12405346,2551215,1936713
"69",127,1517115,2805851,219251,102356,188492,12420605,2556867,1940802
"70",133,1517033,2805544,217951,102388,190150,12416565,2556759,1940773
"71",139,1516674,2577008,216869,102192,190979,12415793,2862808,1940589
"72",145,1572408,2576261,214766,102944,190966,12412043,2862316,1828578
"73",151,1571887,2575259,214070,103094,190470,12408861,2861064,1828283
"74",157,1569633,2571446,210940,103044,189793,12404846,2857120,1825452
"75",163,1569834,2571225,207148,103794,192995,12404118,2856904,1825441
"76",169,1573329,2576497,207978,104268,194130,12419834,2862004,1829784
"77",175,1496925,2576160,208644,104610,193364,12418033,2862092,1751311
"78",4,1212922,2575345,207026,105638,195887,12415374,2860973,1750620
"79",10,1132895,2574229,206597,105954,200849,12417913,2859564,1749631
"80",16,1129590,2567409,204901,105440,201907,12408803,2851918,1744916
"81",22,1126449,2560847,203655,104163,203824,12380718,2844624,1740414
"82",28,1124738,2557562,201090,104275,206509,12372297,2840997,1737616
"83",34,1124911,2557870,200596,103614,212482,15248409,2841309,1648609
"84",40,1159710,2552736,198836,103050,211990,16689522,2835759,1617902
"85",46,1141106,2548568,199158,101778,209753,17418816,2830889,1615096
"86",52,1139072,2544499,196851,101279,214076,17794399,2826216,1542440
"87",58,1175530,2539340,197396,100316,216804,17990504,2820490,1564712
"88",64,1146115,2532195,194025,99766,219004,18090912,2812396,1560563
"89",70,1144639,2445843,192012,99815,218213,18157620,2808718,1515009
"90",76,1144993,2447235,191299,100576,218624,18124520,2809576,1515610
"91",81,1128028,2441669,186834,100518,219542,18130636,2803032,1512225
"92",86,1125419,2372571,184173,100534,221640,18148110,2797343,1643477
"93",92,1122821,2367459,184295,100424,225481,18169981,2791535,1639713
"94",98,1098841,2800689,182004,99576,244474,18186609,2785713,1636011
"95",104,1078227,2793154,180604,99166,247208,18191320,2778258,1631461
"96",110,1076480,2789078,180919,99227,247666,18224329,2774184,1597184
"97",116,1076516,2789847,181281,99271,247603,18305046,2675983,1597742
"98",122,1049642,3002288,181417,98769,248349,18324480,2671131,1668844
"99",128,1047125,2995751,178996,97172,253192,18337351,2900264,1632149
"100",134,1020474,2989000,177729,96117,251781,18348574,2894041,1628292
"101",140,1017877,2982200,177822,95289,254779,18360194,2887398,1624458
"102",146,1014734,2973726,176614,95394,259519,18360209,2879227,1703927
"103",152,1000632,2969318,175377,94113,265258,18399394,2874845,1701397
"104",158,1000459,2969330,175668,94968,267089,18485240,2874948,1645068
"105",164,986213,2961920,175461,94839,268659,18514859,2867534,1641074
"106",170,983371,2954526,175822,93811,267062,18535507,2860620,1636635
"107",176,980972,2947511,178922,94471,265292,18553791,2737316,1632443
"108",181,998043,2939523,177368,93886,262488,18563773,2729913,1627881
"109",5,994795,2930670,176975,94260,263887,18562547,2721575,1716107
"110",11,992963,2925829,175029,94219,257989,18595703,2717072,1712857
"111",17,982944,2926509,177940,93967,256212,18669809,2717554,1712882
"112",23,1011881,2920646,178621,93903,261006,18697830,2712277,1680956
"113",29,1009570,2914594,178217,94066,262233,18723352,2706824,1643598
"114",35,1007564,2908165,177109,94055,259966,18748321,2700772,1639640
"115",41,1025392,2900860,179991,94750,257887,18765801,2693841,1635558
"116",47,1006640,2891520,179062,94604,261184,18769998,2685095,1630028
"117",53,992790,2886678,177495,95200,259618,18808228,2680718,1627037
"118",59,983180,2886229,176218,94897,258074,18889347,2592722,1627036
"119",65,980472,3223049,175998,94652,262398,18915681,2586617,1598246
"120",71,968913,3216001,175278,95356,259672,18964088,2580985,1573225
"121",77,956592,3208358,176234,95233,262115,19000054,2574875,1569681
"122",82,943910,3199864,176594,94739,258760,19012374,2567528,1665812
"123",87,917584,3190059,176003,94864,270195,19023761,2559774,1660413
"124",93,915711,3183763,176567,94153,268025,19059492,2554642,1613700
"125",99,915289,3183019,174382,94400,269834,19125563,2553952,1580346
"126",105,904610,3175170,174430,94461,270433,19138466,2468056,1576205
"127",111,933834,4020897,175900,94962,279375,19145792,2460903,1571487
"128",117,958059,4009874,175755,95066,271833,19151447,2378142,1719797
"129",123,984770,3998277,177064,94998,273438,19148645,2371074,1814210
"130",129,967604,3983085,179763,95025,270954,19129126,2362182,1807423
"131",135,965406,3974642,180770,95287,273253,19157540,2357119,1748069
"132",141,965178,3971652,180606,94568,273914,19221225,2356123,1694592
"133",147,942768,3960589,179228,94315,269621,19223614,2253866,1689916
"134",153,920182,3947098,178939,94406,275929,19214966,2646333,1656741
"135",159,916821,3933016,179350,95128,275104,19199453,3593245,1650922
"136",165,913591,3918801,180306,94864,280291,19183423,4645535,1792798
"137",171,901480,3871749,178446,95474,282542,19085634,4590143,1770453
"138",177,899342,3862678,177538,95093,289517,19106370,4580012,1731328
"139",6,897166,3853534,178608,95766,287276,19122382,4567934,1636070
"140",12,894163,3655535,178595,96416,278298,19128767,4553744,1602061
"141",18,863379,3645706,179457,96710,276860,19130195,5977689,1692530
"142",24,860663,3634699,181661,97427,277308,19133666,5961154,1687602
"143",30,849076,4730887,182258,97544,273398,19142777,5945234,1683076
"144",36,835544,4721867,182253,97443,260421,19165616,5935137,1654295
"145",42,813597,4712295,182632,97215,256381,19192436,4980635,1651183
"146",48,803732,4698257,184047,96553,256363,19196282,4965942,1646353
"147",54,801114,4683858,185498,96601,256026,19197811,4950988,1721536
"148",60,798471,4669212,184180,96617,248382,19197203,4934933,1677054
"149",66,815482,4654849,183526,97853,248047,19194956,4918815,1671715
"150",72,804794,4642119,185885,97211,248257,19198333,4905871,1667241
"151",78,860921,4633006,185821,97227,246545,19216760,4896815,1626063
"152",83,848395,4085671,185178,96538,250715,19235759,4887992,1623039
"153",88,887680,4073083,186122,96233,249914,19234156,4871638,1618218
"154",94,884643,5548961,186148,96123,243335,19230680,4547642,1613085
"155",100,949584,5532682,188521,95818,242179,19227299,4533220,1608054
"156",106,918884,5515934,187180,94551,247423,19220076,4519188,1603373
"157",112,916283,5500510,187829,94541,248280,19212664,4506380,1598900
"158",118,914257,5490282,188064,95386,246749,19227646,4497392,1595427
"159",124,912466,5478493,188914,95355,244255,19238522,4487000,1560804
"160",130,872729,5457565,191800,96006,242023,19218214,4469510,1554913
"161",136,857850,5437626,191446,95849,242857,19191623,4451618,1549444
"162",142,828504,7851926,191208,95077,243118,19152984,4431488,1542513
"163",148,824750,7814987,191497,93433,245908,19104718,4409659,1561045
"164",154,821813,7786221,190934,93501,246114,19091744,4028646,1555146
"165",160,820105,7772113,192589,93803,247203,19112503,4019761,1552055
"166",166,818009,7756184,192037,93485,248061,13035982,4009877,1548385
"167",172,805889,7724033,190087,93477,247915,12990597,3994444,1543327
"168",178,803467,7779658,190584,93642,248943,13076607,4027144,1556854
"169",182,824400,7740685,188200,93961,251056,13012616,4007938,1629888
"170",1,1007376,7701598,187931,94080,250181,12936553,3987728,1531510
"171",7,1065940,7671830,186794,93896,249903,12889608,3973384,1526161
"172",13,1065283,7664903,188163,93815,247663,12880539,3972613,1490668
"173",19,1065663,7664765,186973,94587,246816,12875545,3974558,1491111
"174",25,1067396,7674916,186821,94478,246760,12895351,3981280,1493658
"175",31,1066976,7669435,185757,95410,241535,12882706,3649751,1587326
"176",37,1028395,7667247,185859,95969,239396,12874695,3647930,1621534
"177",43,1041361,6672682,182093,97285,241073,12864761,3647399,1590963
"178",49,1040958,6667125,179228,97697,240687,12851464,3645901,1692459
"179",55,1039462,6656445,176794,98129,240987,12827622,3641091,1681602
"180",61,1067881,6654397,176344,98608,234545,12816337,3641174,1587804
"181",67,1058724,7674713,175729,99030,233587,12841076,3650360,1579436
"182",73,1035585,7673809,174861,99556,233645,17660021,3651541,1551064
